timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_receive,network_transmit,active_processes,cpu_change,memory_change,disk_read_speed,disk_write_speed,network_receive_speed,network_transmit_speed,cpu_rolling,memory_std,cpu_mem_ratio,disk_cpu_ratio,high_cpu,high_memory,hour,day_of_week
27:05.1,83.09808008,41.19764466,20718592,1630208,967844974,11870716,1,3.618988706,-12.96748201,0,0,42184099,117980,77.45106662,5.242448797,2.017059004,246362.2473,1,0,16,2
28:02.8,84.51874697,36.89064634,20718592,1630208,1008096057,12027391,1,1.420666893,-4.306998313,0,0,40251083,156675,79.3652537,7.544673707,2.291061701,242269.5927,1,0,16,2
29:04.0,85.89210526,46.51484717,20718592,1630208,1008148797,12059346,1,1.373358289,9.624200824,0,0,52740,31955,81.67469138,6.562548006,1.846552456,238440.4422,1,0,16,2
30:02.4,80.76666667,52.50903915,20718592,1630208,1008157175,12092654,1,-5.125438596,5.994191986,0,0,8378,33308,82.75093807,7.331756126,1.538147869,253386.7754,1,0,16,2
45:39.5,80.76666667,52.50903915,20718592,1630208,1008157175,12092654,1,-5.125438596,5.994191986,0,0,8378,33308,82.75093807,7.331756126,1.538147869,253386.7754,0,0,16,2
46:13.4,99.93806426,50.18617784,36283392,1630208,1008157925,12096658,1,-5.125438596,5.994191986,0,0,8378,33308,82.75093807,7.331756126,1.991346394,359461.9361,1,0,16,2
47:24.4,99.48954723,47.97132723,36963328,1630208,1008158045,12103585,1,-0.44851703,-2.21485061,679936,0,120,6927,82.75093807,7.331756126,2.073937766,367832.5659,1,0,16,2
48:08.4,99.15382384,60.81025241,36963328,1630208,1008158165,12110076,1,-0.335723393,12.83892517,0,0,120,6491,82.75093807,7.331756126,1.63054452,369065.5692,1,0,16,2
49:10.1,94.60946387,54.83924657,36963328,1630208,1008158285,12115226,1,-4.544359965,-5.971005842,0,0,120,5150,82.75093807,7.331756126,1.72521451,386607.4184,1,0,16,2
50:04.4,90.42293174,56.34462414,36963328,1630208,1008158405,12119527,1,-4.186532134,1.505377578,0,0,120,4301,96.72276619,5.085928419,1.604819148,404311.3396,1,0,16,2
51:04.6,85.85726566,68.38557868,36963328,1630208,1008158525,12125051,1,-4.565666075,12.04095453,0,0,120,5524,93.90660647,7.55841999,1.255487887,425564.0299,1,0,16,2
52:10.8,82.4890298,64.57065461,36963328,1630208,1008158585,12130066,1,-3.36823586,-3.814924071,0,0,60,5015,90.50650298,5.633810106,1.277500287,442732.7529,1,0,16,2
53:05.2,74.61509042,40.29694333,36963328,1630208,1008158705,12135921,1,-7.873939381,-24.27371128,0,0,120,5855,85.5987563,10.85095969,1.85163152,488835.3342,0,0,16,2
54:02.1,70.22113522,46.53401591,36963328,1630208,1008158825,12141437,1,-4.393955199,6.237072577,0,0,120,5516,80.72109057,11.83401581,1.509028049,518993.8055,0,0,16,2
55:02.8,58.61929825,52.19591143,36963328,1630208,1008158945,12145140,1,-11.60183698,5.661895525,0,0,120,3703,74.36036387,11.88135607,1.123063026,619989.317,0,0,16,2
56:02.9,44.75916952,54.48238657,36963328,1630208,1008159005,12148818,1,-13.86012872,2.286475132,0,0,60,3678,66.14074464,9.087397198,0.821534671,807779.695,0,0,16,2
57:03.1,41.44216059,36.52299675,36963328,1630208,1008159125,12160925,1,-3.317008932,-17.95938981,0,0,120,12107,57.9313708,7.631572761,1.134686753,870910.6107,0,0,16,2
