timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_receive,network_transmit,active_processes,cpu_change,memory_change,disk_read_speed,disk_write_speed,network_receive_speed,network_transmit_speed,cpu_rolling,memory_std,cpu_mem_ratio,disk_cpu_ratio,high_cpu,high_memory,hour,day_of_week
43:01.9,0.029857161,0.537466447,0.412329864,0.063890204,0.052874922,0.059598721,0,0.264485259,0.580517108,0.472712965,0.085014409,0.773103506,0.801495583,0.078227984,0.010884864,0.009374466,0.391181228,0,0,0.565217391,1
44:01.6,0.034911939,0.537454414,0.412329864,0.063890204,0.052874922,0.059598721,0,0.320932671,0.588389091,0.472712965,0.085014409,0.773103506,0.801495583,0.068430956,0.01351448,0.010723618,0.369572357,0,0,0.565217391,1
45:03.4,0.099364159,0.538571801,0.412329864,0.063890204,0.052875365,0.059630882,0,0.369662617,0.589317284,0.472712965,0.085014409,0.773103848,0.801521362,0.071091436,0.013195003,0.027860286,0.214376907,0,0,0.565217391,1
46:02.1,0.122816764,0.552707602,0.412329864,0.063890204,0.052875365,0.059630882,0,0.336026337,0.60001623,0.472712965,0.085014409,0.773103506,0.801495583,0.076268455,0.018066031,0.033225983,0.185090478,0,0,0.565217391,1
47:02.6,0.134328435,0.565973561,0.412329864,0.063890204,0.052875365,0.059630882,0,0.326229938,0.599301366,0.472712965,0.085014409,0.773103506,0.801495583,0.084473762,0.033309168,0.035382609,0.173304566,0,0,0.565217391,1
48:02.3,0.138592836,0.564173709,0.412329864,0.063890204,0.052879168,0.059744465,0,0.320284242,0.586919805,0.472712965,0.085014409,0.773106445,0.801586629,0.106383688,0.035610527,0.036593468,0.16928578,0,0,0.565217391,1
49:01.8,0.129501231,0.562782992,0.412329864,0.063890204,0.052879252,0.059754674,0,0.309326912,0.587256045,0.472712965,0.085014409,0.773103571,0.801503767,0.125443159,0.030009624,0.034340334,0.17807224,0,0,0.565217391,1
50:01.9,0.05821736,0.562817373,0.412329864,0.063890204,0.052879827,0.059799427,0,0.25830408,0.588427236,0.472712965,0.085014409,0.77310395,0.801531456,0.117152197,0.013519122,0.015965063,0.293887269,0,0,0.565217391,1
51:01.8,0.127957613,0.563560006,0.412329864,0.063890204,0.052879827,0.059799427,0,0.374000944,0.589009299,0.472712965,0.085014409,0.773103506,0.801495583,0.118188063,0.003296433,0.033894818,0.179648556,0,0,0.565217391,1
52:01.4,0.112822306,0.563541096,0.412329864,0.063890204,0.052879827,0.059799427,0,0.30436863,0.58838344,0.472712965,0.085014409,0.773103506,0.801495583,0.11385464,0.001369596,0.029998698,0.196597953,0,0,0.565217391,1
53:01.9,0.107261646,0.563231666,0.412329864,0.063890204,0.052879827,0.059799427,0,0.312223716,0.588144681,0.472712965,0.085014409,0.773103506,0.801495583,0.107541495,0.00082327,0.028583596,0.2035966,0,0,0.565217391,1
54:01.8,0.109345973,0.553070323,0.412329864,0.063890204,0.052879827,0.059799427,0,0.318495699,0.580048067,0.472712965,0.085014409,0.773103506,0.801495583,0.103480269,0.011912454,0.029685679,0.200919346,0,0,0.565217391,1
55:01.6,0.094103133,0.5551521,0.412329864,0.063890204,0.05288027,0.059835586,0,0.304280409,0.590109851,0.472712965,0.085014409,0.773103848,0.801524567,0.110711149,0.013461467,0.025598971,0.222172424,0,0,0.565217391,1
56:02.7,0.063938051,0.555530293,0.412329864,0.063890204,0.05288027,0.059835586,0,0.29203813,0.588709791,0.472712965,0.085014409,0.773103506,0.801495583,0.097811391,0.012791879,0.017728027,0.279667627,0,0,0.565217391,1
57:01.9,0.102590033,0.553855932,0.412329864,0.063890204,0.05288027,0.059835586,0,0.348495979,0.587022938,0.472712965,0.085014409,0.773103506,0.801495583,0.095749617,0.010570261,0.027878895,0.209846805,0,0,0.565217391,1
58:02.2,0.112282385,0.547942377,0.412329864,0.063890204,0.052884039,0.059951721,0,0.32473736,0.583539034,0.472712965,0.085014409,0.773106419,0.801588675,0.096761282,0.007886435,0.030749141,0.197257669,0,0,0.565217391,1
